area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Seoul,71,76,69,61,58,60,61,55,54,49,47,41,45,46,45,48,44,40,42
Gyeonggi,71,74,68,67,65,68,66,60,60,58,56,49,54,54,53,53,51,44,46
Incheon,52,57,61,62,61,68,64,57,60,55,55,47,49,49,53,49,46,40,43
Busan,60,69,55,60,58,59,57,51,49,49,47,43,49,48,46,44,44,41,36
Daegu,67,71,59,0,55,54,53,57,48,51,47,42,45,45,46,43,42,39,39
Gwangju,57,52,36,46,49,55,52,50,46,45,43,38,42,41,43,40,40,41,42
Daejeon,48,53,43,49,48,49,49,45,43,44,44,39,42,41,46,44,45,44,42
Ulsan,0,54,40,50,50,52,53,54,49,48,49,46,47,46,46,43,43,40,37
Sejong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,47,40,44
Gangwon,49,58,57,59,62,58,55,56,53,51,50,47,50,51,50,47,44,38,37
Chungcheong,59,54,52,56,52,54,58,55,54,54,50,46,49,47,49,47,44,42,44
Jeolla,55,53,45,49,47,49,52,48,50,48,46,43,45,45,44,44,42,39,38
Gyeongsang,51,55,52,58,55,54,52,51,48,47,47,44,49,49,46,43,42,43,39
Jeju,46,45,37,43,45,49,44,43,42,48,42,34,40,47,44,41,37,35,35
